label,class,PCA1,PCA2,TSNE1,TSNE2
0,Early Blight,6.5377746,-3.2980576,11.881169,-6.423232
0,Early Blight,16.446682,0.8863298,21.674545,-7.935296
1,Late Blight,-13.279206,13.798863,-23.384617,12.262001
0,Early Blight,4.474246,-4.758912,6.920866,-5.9095516
1,Late Blight,-8.569277,0.18210085,-11.947368,6.183976
0,Early Blight,9.396255,-3.277209,14.589002,-8.478532
0,Early Blight,23.745605,3.9433677,26.283672,-8.790269
1,Late Blight,-8.365228,-6.1299744,-6.5618296,0.39800507
1,Late Blight,-12.437188,2.1849325,-13.872036,13.114901
0,Early Blight,15.398063,-0.17587008,20.518862,-8.022013
1,Late Blight,-11.609432,0.487417,-11.4271345,10.896823
0,Early Blight,-5.509213,-8.442195,-4.46952,-1.9178902
0,Early Blight,-1.4261663,-7.972577,-0.67104137,-4.0369205
0,Early Blight,0.62513936,-5.9099755,1.8049163,-4.2218876
1,Late Blight,-11.406084,6.020063,-19.439762,12.320208
1,Late Blight,-10.630798,-0.24968359,-10.570756,8.862939
1,Late Blight,-10.602809,0.68637246,-11.980173,9.7064295
0,Early Blight,0.72454786,-2.0286849,3.3496644,-1.2416087
0,Early Blight,4.338945,-4.385318,7.397735,-5.5306716
0,Early Blight,3.9113667,-5.3204865,6.043165,-5.8996615
0,Early Blight,24.967815,5.5531287,27.14204,-8.593667
0,Early Blight,-6.542362,-8.051509,-5.2502427,-1.5400441
0,Early Blight,10.740512,-0.22951464,17.58644,-7.0801992
0,Early Blight,7.5057898,-4.3440847,11.970504,-8.73312
0,Early Blight,5.7692523,-4.8938203,9.007939,-7.3026886
1,Late Blight,-11.951302,6.166876,-19.667345,12.776534
0,Early Blight,6.8389425,-3.7806315,11.352519,-8.29127
0,Early Blight,-6.642315,-7.6357465,-5.2040663,-1.1262596
1,Late Blight,-8.324853,3.8436003,-17.372536,8.098525
0,Early Blight,3.903374,-5.594882,5.770886,-6.14995
0,Early Blight,19.672249,2.5156753,23.94658,-7.840142
1,Late Blight,-13.431683,5.150591,-19.04575,14.104174
0,Early Blight,5.7830763,-3.8262107,9.937282,-6.2266273
1,Late Blight,-12.796557,8.183101,-21.264866,13.09564
0,Early Blight,13.889116,1.6143465,20.24489,-7.017168
1,Late Blight,-9.425394,-1.257143,-10.177012,6.002873
0,Early Blight,-1.3100035,-4.092002,1.0959717,-1.8466117
0,Early Blight,11.467123,-0.84447235,17.910418,-7.4470196
1,Late Blight,-9.385708,-1.3352002,-9.809732,5.953203
1,Late Blight,-11.764417,1.9516946,-13.647485,11.996667
1,Late Blight,-0.540142,-1.870172,2.5446439,-0.6751535
0,Early Blight,14.286101,0.21743369,20.03873,-7.693875
0,Early Blight,20.785894,3.948393,25.159004,-7.470956
1,Late Blight,-10.688194,1.414415,-12.902285,10.385652
0,Early Blight,23.795563,4.5559373,26.501564,-8.291225
0,Early Blight,13.194402,-0.84985495,19.206648,-7.8414264
1,Late Blight,-7.8557305,-6.375521,-5.8250623,0.21484637
0,Early Blight,12.970832,-1.1209923,18.923075,-7.822264
1,Late Blight,-15.770151,10.4664755,-22.875813,13.654536
1,Late Blight,-11.5636215,11.956566,-22.742586,11.867077
0,Early Blight,26.171436,5.9595394,27.862328,-8.385972
0,Early Blight,11.102541,0.61767614,18.043455,-6.719563
1,Late Blight,-6.0254216,3.7199678,-17.784817,6.758334
1,Late Blight,-9.26722,8.783581,-21.247139,10.708038
1,Late Blight,-8.455596,-5.9313245,-6.557952,0.65482134
0,Early Blight,24.06882,4.884584,26.720322,-7.677596
1,Late Blight,-1.8644878,-6.335486,-0.37180108,-3.0941472
1,Late Blight,-6.3314824,-6.2146873,-4.6773577,-0.24710141
1,Late Blight,-11.858854,2.2947352,-14.23556,12.218888
0,Early Blight,5.684377,-4.924321,8.653064,-7.2743425
1,Late Blight,-5.472547,-6.073077,-4.0018454,-0.68343157
0,Early Blight,20.957006,3.3372126,25.05442,-8.415199
0,Early Blight,22.50999,4.197992,25.820387,-8.482842
1,Late Blight,-10.698647,1.2348003,-12.62448,10.2613945
1,Late Blight,-15.338267,11.91224,-23.246653,13.186891
0,Early Blight,15.167962,1.5536004,20.943861,-7.2819057
0,Early Blight,1.9415181,-6.3397026,2.9102561,-5.063511
1,Late Blight,-13.383037,4.925983,-18.765566,14.291461
0,Early Blight,26.344482,5.654098,27.937178,-7.52624
1,Late Blight,-7.344518,6.2186065,-18.788351,8.009658
1,Late Blight,-9.388167,-0.24979173,-11.109246,6.517594
1,Late Blight,-13.295182,9.309533,-21.953386,13.054728
1,Late Blight,-7.132928,1.2877343,-15.598894,6.378359
1,Late Blight,-3.86355,2.5784705,-17.641088,5.8338146
0,Early Blight,4.798433,-4.192231,8.144968,-5.65696
0,Early Blight,6.5004497,-4.4900436,10.527656,-8.342884
0,Early Blight,9.489096,-2.7161498,14.997185,-8.070284
1,Late Blight,-9.95432,-2.3827164,-8.922646,5.518258
0,Early Blight,33.211224,9.39758,29.223452,-8.544421
1,Late Blight,-13.416673,6.0879993,-19.927197,13.873256
1,Late Blight,-8.964699,-4.4070964,-7.072474,2.6241148
0,Early Blight,21.285696,3.1893167,25.220222,-8.052156
0,Early Blight,14.93333,2.822474,21.219189,-6.8709936
0,Early Blight,18.104446,1.6756821,22.855827,-7.8029084
0,Early Blight,8.984069,1.6112208,16.773237,-5.6150527
1,Late Blight,-4.6116714,11.098985,-20.95025,8.813132
0,Early Blight,10.40178,-1.5540097,16.84096,-7.6537027
1,Late Blight,-13.198574,3.7059286,-16.811758,14.230005
1,Late Blight,-8.600135,-3.2565744,-8.085083,3.7710476
1,Late Blight,-14.190668,11.863162,-23.015926,12.839672
1,Late Blight,-1.4707962,-5.6328344,0.18994352,-2.918401
1,Late Blight,-6.269581,-7.1686907,-4.813267,-0.9867444
0,Early Blight,20.372345,3.3813736,24.684471,-8.250403
1,Late Blight,-7.8200617,-6.892941,-6.0674644,-0.39674118
0,Early Blight,13.437322,5.2200623,21.069487,-6.0803533
1,Late Blight,-8.196672,-3.0794568,-8.409309,3.5719254
1,Late Blight,-6.7847276,3.4395058,-17.400545,7.0741973
0,Early Blight,4.681863,-4.472151,7.8951864,-5.885613
0,Early Blight,16.572672,1.8981088,22.019949,-7.4686236
0,Early Blight,5.657202,-4.5559053,9.242495,-6.256619
0,Early Blight,20.248304,2.8563688,24.396503,-8.190887
1,Late Blight,-9.365159,-2.5734322,-8.9560995,4.7418175
1,Late Blight,-8.217168,9.364523,-21.432762,10.331271
1,Late Blight,-2.4014053,-0.7689845,1.0010465,0.31125832
0,Early Blight,25.957687,5.218945,27.609976,-7.239643
0,Early Blight,5.46428,-1.9553202,13.142143,-4.8770256
1,Late Blight,-1.5944947,-1.7558352,1.7845626,-0.33797932
1,Late Blight,-2.8275945,7.5368247,-19.797575,7.3379393
0,Early Blight,8.906781,-3.1634157,14.136227,-8.773567
0,Early Blight,6.679719,-4.373426,10.880715,-7.596973
1,Late Blight,-3.9939976,-5.8452497,-2.0451853,-1.6453089
0,Early Blight,9.46515,2.8011334,17.183191,-5.602224
0,Early Blight,-2.9409401,-4.809832,-0.8330103,-1.6514969
1,Late Blight,-10.010405,-2.7968135,-7.831764,5.6190658
0,Early Blight,2.1098604,-4.214507,4.4244123,-3.9778786
1,Late Blight,-9.652119,11.803743,-22.404716,11.106598
0,Early Blight,0.546823,-7.5679035,0.9476717,-4.7149434
1,Late Blight,-14.286129,6.1216154,-20.258774,14.562829
1,Late Blight,-8.545828,13.424771,-22.646284,10.893995
0,Early Blight,0.25182068,-7.253475,0.7509021,-4.3879223
1,Late Blight,-10.154738,6.9675508,-20.283207,11.31608
1,Late Blight,-9.959535,-1.5867982,-9.424367,6.2838717
1,Late Blight,-10.137419,-2.4217699,-8.431099,5.8893013
0,Early Blight,7.308344,-4.075666,11.916597,-7.7130904
0,Early Blight,7.325338,-3.7793124,12.313024,-7.2672677
0,Early Blight,2.7495596,-4.932203,4.517245,-5.132877
0,Early Blight,5.6221166,-4.403708,9.261407,-6.7688804
1,Late Blight,-11.941008,1.0993905,-12.246236,11.80094
1,Late Blight,-11.960323,1.2589873,-12.495424,11.985005
1,Late Blight,-12.656153,4.9343033,-18.382196,13.471854
0,Early Blight,20.250769,3.0494719,24.512955,-7.636794
1,Late Blight,-12.368496,3.8993132,-16.96012,13.421292
1,Late Blight,-12.6957245,3.2499707,-15.865837,13.922959
0,Early Blight,20.125118,3.7333496,24.691952,-7.415753
1,Late Blight,-10.3495655,-1.9932392,-8.60427,6.5335274
0,Early Blight,24.448673,5.767357,26.917267,-8.916914
0,Early Blight,7.6513166,-2.8864841,13.294137,-6.9833026
0,Early Blight,4.8667884,1.5765586,14.994878,-4.040739
1,Late Blight,-10.195553,-2.3817322,-8.219852,6.121627
1,Late Blight,-11.840273,4.065338,-17.260353,12.619843
1,Late Blight,-8.363286,2.449715,-16.403166,7.4902797
1,Late Blight,-10.743482,-1.3154862,-9.308736,7.3344455
0,Early Blight,25.047136,5.0935526,27.121305,-8.061631
0,Early Blight,4.98258,-4.925953,7.801098,-6.6757593
0,Early Blight,25.539452,5.3661203,27.40784,-7.953212
0,Early Blight,39.33259,11.94461,29.605179,-8.676019
1,Late Blight,-7.191655,-8.086706,-5.9518566,-1.3746315
0,Early Blight,-4.073182,-2.7656927,-0.9444445,0.39415747
0,Early Blight,6.3551984,-4.544359,10.348263,-7.148918
1,Late Blight,-9.798175,-2.6770096,-8.382072,5.198424
0,Early Blight,0.27010918,-7.243323,0.78951854,-4.3957067
0,Early Blight,25.663897,5.2216425,27.388428,-7.286184
1,Late Blight,-6.8883386,-6.779953,-5.345232,-0.4438691
1,Late Blight,-8.477002,-5.529797,-6.5672927,1.1296463
0,Early Blight,4.2317033,-3.7201803,7.3817067,-4.749929
0,Early Blight,7.8025084,-2.70964,13.672269,-6.6661134
1,Late Blight,-8.931184,-3.9574015,-7.4142437,3.374797
1,Late Blight,-11.272696,3.331503,-16.063354,11.958533
1,Late Blight,-14.603997,6.9351587,-20.901731,14.39373
0,Early Blight,5.893402,-4.4882555,9.632501,-6.8691316
1,Late Blight,-11.313335,1.5501302,-13.118607,11.1790695
0,Early Blight,2.2075858,-1.4475995,4.235709,-1.2162215
0,Early Blight,8.377716,-3.0977015,13.86833,-7.7890644
1,Late Blight,-12.055057,1.7670306,-13.2644205,12.360855
1,Late Blight,-12.4774275,2.236786,-14.115028,13.03686
0,Early Blight,3.9581482,1.391892,14.7947445,-3.780241
1,Late Blight,-5.0900865,3.9430506,-18.170258,6.4798155
1,Late Blight,-11.323176,2.4045084,-14.464452,11.706827
1,Late Blight,-11.884477,4.260492,-17.694191,12.534841
1,Late Blight,-8.757331,3.6258035,-17.12325,8.371552
0,Early Blight,26.22804,6.167983,27.93886,-8.739934
0,Early Blight,1.3116044,-0.7515892,3.8525965,-0.8242025
0,Early Blight,-2.041188,-8.15068,-1.1581259,-3.6839263
1,Late Blight,-4.8712296,6.9365315,-19.407751,7.351189
1,Late Blight,-12.300168,5.380512,-18.969046,13.188797
1,Late Blight,-4.230001,-0.7681254,-0.3566839,1.0798503
1,Late Blight,-10.789716,0.57807094,-11.492331,9.766886
1,Late Blight,-5.9119835,0.09537047,-14.699075,5.5509067
0,Early Blight,5.215819,-4.6813626,8.37648,-6.5233746
1,Late Blight,-1.7936938,-5.5825996,-0.08061146,-2.7170267
0,Early Blight,3.548996,-5.0764017,5.8026586,-5.3191705
1,Late Blight,-10.8620615,-1.1321285,-9.532041,7.629074
1,Late Blight,-12.549797,2.3385131,-14.387853,13.183553
1,Late Blight,-14.343676,7.840008,-21.385729,13.913715
0,Early Blight,4.068353,-5.877121,5.3190556,-6.6516647
0,Early Blight,1.7873527,-5.851315,3.1349204,-4.7619786
0,Early Blight,6.4648285,-3.742693,11.393631,-6.239655
0,Early Blight,13.475567,-0.5323402,19.462282,-7.7988687
0,Early Blight,11.640827,1.0257803,18.564022,-6.7854953
0,Early Blight,6.006405,-4.0212073,10.490408,-6.23924
0,Early Blight,28.472084,6.384724,28.538483,-7.7176185
0,Early Blight,26.67283,5.5826616,28.020386,-8.052792
0,Early Blight,-0.04023376,-3.4965181,2.4679286,-1.7653903
1,Late Blight,-10.509159,4.415539,-17.603745,11.039653
0,Early Blight,-3.1202807,-6.039162,-1.574511,-2.230972
0,Early Blight,0.010043803,-2.073524,2.9113276,-0.9547103
0,Early Blight,-1.0989506,-6.966627,-0.037996933,-3.8285108
1,Late Blight,-11.632491,7.798978,-20.86611,12.318735
0,Early Blight,32.287315,8.24688,29.198996,-8.05281
0,Early Blight,-0.22586365,-6.0088058,0.9507437,-3.6488028
1,Late Blight,-9.790328,-3.151903,-7.677182,4.908382
1,Late Blight,-9.086752,4.75768,-17.739592,9.025249
0,Early Blight,-0.14607123,-2.4744675,2.6263144,-1.1255662
1,Late Blight,-8.392529,-5.1579404,-6.3671947,1.5870928
1,Late Blight,-10.802166,0.93606776,-12.136717,10.238786
0,Early Blight,-4.337462,-4.0033975,-1.6948563,-0.19048214
0,Early Blight,10.188232,-2.8830953,15.299198,-8.679179
1,Late Blight,-6.455843,4.658075,-18.234663,7.211203
1,Late Blight,-12.337111,3.4409897,-16.238031,13.507456
1,Late Blight,-11.714259,0.7383592,-11.464517,11.650785
1,Late Blight,-5.363018,-5.0289483,-3.2220833,-0.065137155
1,Late Blight,-8.145893,1.6413572,-15.817377,6.9938407
0,Early Blight,11.86669,-1.4810516,18.01243,-7.7937512
0,Early Blight,6.3594575,-0.29836926,14.61865,-4.870638
1,Late Blight,-4.003954,-1.4133012,-0.38880968,0.80395234
1,Late Blight,-7.1736817,-1.7764697,-10.2612915,3.9993505
0,Early Blight,2.6252382,-4.560804,4.9011016,-4.33802
1,Late Blight,-6.204434,4.1185246,-18.015312,6.979257
1,Late Blight,-10.953327,0.31131935,-11.138909,9.880338
1,Late Blight,-13.878584,9.240072,-22.073257,13.544338
1,Late Blight,-11.6085005,0.38073114,-11.00084,10.69042
0,Early Blight,3.0866873,-5.811962,4.459388,-5.8874054
0,Early Blight,5.04731,-3.4168675,9.021443,-5.312231
0,Early Blight,7.9112415,-3.2843547,13.174555,-7.6114116
0,Early Blight,9.71658,-3.0003817,14.84518,-8.924172
0,Early Blight,7.395164,-4.115883,12.091505,-7.549206
1,Late Blight,-14.982615,7.4192185,-21.307556,14.364409
0,Early Blight,6.484739,-0.7784954,14.341823,-5.02819
1,Late Blight,-11.673498,3.8019478,-16.760324,12.419034
0,Early Blight,16.001049,0.22057247,21.110006,-8.121004
1,Late Blight,-7.1744304,-6.0930243,-5.1988735,0.28751037
0,Early Blight,1.7050571,-4.005912,4.1019297,-3.1991737
0,Early Blight,-3.194986,-7.7062035,-1.9780517,-3.0119922
1,Late Blight,-15.022001,14.575771,-23.736176,12.677109
0,Early Blight,7.454319,-1.9676462,13.916058,-6.100929
